Prospect (site/name),URL,Type (self-serve / editorial / directory / stockist / blogger),Score (1-10),Band (A/B/C),Authority Score (Semrush AS),Contact name,Contact channel (email / form / WhatsApp / IG DM),"Angle & asset pitched (e.g. PCOS data piece, vitamin-D tool, stockist listing)",Assigned to (Owner / Tanya),Status (To do / Sent / Followed up / Replied / Link live / Declined / Dead),Date first contacted,Follow-up due date,Reply? (Y/N + one-line summary),Link URL (the page linking to us),Our page linked to,Anchor text used,Dofollow / Nofollow,Date link verified live,Notes
FUCHSIA Magazine,fuchsiamagazine.com,news,9,A,30,,Contact/advertise page on fuchsiamagazine.com; 'Advertise with FUCHSIA' email in footer,"Product review / roundup inclusion: pitch Yellow Pink products into their sale-season and gift listicles (11.11, Eidi, Pakistan Day formats) with dofollow 'Shop Now' links, plus a beauty feature | asset: Seasonal sale + www.yellowpink.pk/quiz (Routine Finder) as the hook",,To do,,,,,,,,,"Links all three competitors: https://fuchsiamagazine.com/here-are-the-best-foundations-for-your-skin-type/ (Cozmetica), https://fuchsiamagazine.com/five-11-11-sales-you-must-check-out-this-year/ (Makeup City, dofollow), https://fuchsiamagazine.com/5-things-you-can-spend-your-eidi-on-2/ (Bagallery)"
Saleboard,saleboard.pk,directory,8.5,A,26,,Brand submission / submit-a-sale / contact page on saleboard.pk,"Directory/brand listing: request a dedicated 'Yellow Pink Sales, Deals & Promotions' brand page and post every sale event | asset: https://www.yellowpink.pk homepage + sale collection pages (canonical www URLs)",,To do,,,,,,,,,"Hosts brand pages for all three competitors: https://saleboard.pk/brand/cozmetica, https://saleboard.pk/brand/makeup-city, https://saleboard.pk/brand/bagallery (dofollow 'Visit Website' links)"
Blog Pakistan,blogpakistan.pk,blog,8.5,A,20,,Contact/Write-for-us page on blogpakistan.pk,Product review / sale feature: pitch a dedicated 'Yellow Pink Sale' post (their per-brand Eid-sale format) and inclusion in trusted-store listicles | asset: Sale collection pages + www.yellowpink.pk homepage; secondary: pregnancy test guide for their trusted-medical-stores format,,To do,,,,,,,,,"Covers all three competitors: https://blogpakistan.pk/eid-sales-on-makeup-brands/ (Makeup City, dofollow), https://blogpakistan.pk/bagallery-eid-sale/ (multiple deep links), https://blogpakistan.pk/medical-stores-in-karachi/ (dvago.pk)"
Nutrifactor (stocked brand),nutrifactor.com.pk,brand,8,A,high (official brand domain),,'Become a Distributor' page (business contacts published there); helpline and info email on store-locator page,Directory/brand listing: get Yellow Pink recognised as an authorised online stockist in Nutrifactor's Store Locator — directly fixes the 'no stockist links' weakness | asset: Nutrifactor brand/category page on www.yellowpink.pk,,To do,,,,,,,,,https://www.nutrifactor.com.pk/pages/store-locator and /pages/become-a-distributor confirmed live; Yellow Pink already stocks the brand
Wethrift,wethrift.com,directory,8,A,52,,Merchant/store submission flow ('Submit a coupon' / for-merchants page) on wethrift.com,Directory/brand listing: self-serve merchant coupon page ('Yellow Pink Discount Codes') with links to homepage and product pages | asset: www.yellowpink.pk homepage + live coupon codes,,To do,,,,,,,,,Dedicated pages for both competitors: https://www.wethrift.com/cozmetica-pakistan and https://www.wethrift.com/dvago (multiple links to product pages)
Qeemat.com.pk,qeemat.com.pk,directory,8,A,15,,Merchant/store listing contact page on qeemat.com.pk,Directory/brand listing: get the catalog indexed in their price-comparison engine — yields 30+ deep 'Go to Shop' product links plus referral traffic | asset: Full product catalog (canonical www product URLs),,To do,,,,,,,,,"30 dofollow deep links to Cozmetica and 31 to Makeup City product pages, e.g. https://qeemat.com.pk/dp/112175/calvin-klein-euphoria-100ml-price-in-pakistan"
Momistan,momistan.com,blog,8,A,low-medium (est.),,Contact page at momistan.com/contact/; expert roster at /experts/,Tool/resource mention: pitch their expert panel the free no-signup pregnancy calculator and the safe formula-preparation guide as citable resources for pregnancy/feeding articles | asset: https://www.yellowpink.pk/pregnancy-calculator + formula milk guide,,To do,,,,,,,,,"https://momistan.com/ active Jul-Aug 2026; Pakistan-focused parenting portal with pregnancy, feeding and child-health content plus in-house expert roster"
Brandsynario,brandsynario.com,news,8,A,37,,"Contact Us page on brandsynario.com (editorial/partnerships, accepts press releases)","Product review / where-to-buy inclusion: their skincare buying guides (sunblock, tretinoin, glutathione) link retailer product pages as purchase sources; pitch Yellow Pink product pages into new and existing guides | asset: Skincare/sunscreen product and category pages on www.yellowpink.pk",,To do,,,,,,,,,"Links all three competitors: https://www.brandsynario.com/best-sunblock-in-pakistan-stay-protected-this-summer/ (dvago product page), https://www.brandsynario.com/lifestyle/cyber-monday-deals-in-pakistan/ (Bagallery), award story linking makeupcityshop.com (dofollow)"
Conatural (stocked brand),conaturalintl.com,brand,7.5,B,high (official brand domain),,'Be Our Distributor or Retailer' footer page or Contact Us on conaturalintl.com,Directory/brand listing: use the 'Be Our Distributor or Retailer' route to get listed as an approved online retailer on the brand's own domain | asset: Conatural brand/category page on www.yellowpink.pk,,To do,,,,,,,,,https://conaturalintl.com/pages/store-locator fetched; 'Be Our Distributor or Retailer' footer link and 'Partner With Us' nav confirmed; Yellow Pink stocks the brand
oladoc Health Zone,oladoc.com,blog,7.5,B,medium-high (major PK telemedicine platform),,Contact form at oladoc.com/contact,"Expert quote or data citation: pitch the 2026 HSG price data (Rs 7,000-12,000 at major labs) and the free pregnancy/ovulation calculators as citations for their women's-health articles | asset: HSG tube-test guide + https://www.yellowpink.pk/pregnancy-calculator",,To do,,,,,,,,,https://www.oladoc.com/health-zone live with Aug 2026 content; already covers pregnancy and women's health in a Pakistani context
