Section,Gap (search term),PK searches/mo,Competition (0-1),Status,Suggested product to list,Local source (site),Local price (PKR),Source URL,Notes
Supplements,Vitamin B12,22200,0.33,Gap,Vitamin B12 1000mcg sublingual,"Nutrifactor (nutrifactor.com.pk)","990 (500mcg) / 4250 (imported 1000mcg)",https://www.nutrifactor.com.pk/products/vitamin-b-12,"Nutrifactor 500mcg cheap local; Natural Factors 1000mcg sublingual imported on myvitaminstore.pk"
Supplements,Collagen (oral) + collagen powder,24700,0.20,Gap (draft created),Hydrolysed marine/bovine collagen peptides,"VERSUS (versusforher.com) / NeoCell (neocell.pk)",6400 / 8495,https://versusforher.com/products/marine-collagen,"Biggest single gap. VERSUS = PK marine brand; NeoCell bovine imported. Draft SKU collagen-peptides-powder created"
Supplements,Creatine monohydrate,14800,0.35,Gap,Micronized creatine monohydrate 200g,"Nutrifactor / Jacked Nutrition (jackednutrition.pk)",4990 / 4995,https://www.nutrifactor.com.pk/products/creatine-monohydrate-powder,"Sports-nutrition; large demand. Both local-ish & in stock"
Supplements,Melatonin,12100,0.05,Gap,Melatonin 3-5mg tablets,"Nutrifactor (dvago.pk)",850 (3mg) / 990 (5mg),https://www.dvago.pk/p/nf-melatonin-3mg-30tab,"Sleep category — no current SKU. Low competition"
Supplements,Apple cider vinegar,9900,0.04,Gap,ACV gummies or capsules,"Nutrifactor Yumcider (nutrifactor.com.pk)",990,https://www.nutrifactor.com.pk/products/yumcider-gummies,"Gummies = easy COD impulse buy; local brand"
Supplements,Whey protein,9900,0.29,Gap,Whey protein 400g+,"Nutrifactor / Jacked / jackednutrition.pk",6490 / 20655,https://www.nutrifactor.com.pk/products/whey-protein-powder,"Nutrifactor cheapest local (was sold out at check); MuscleTech imported. Sports vertical — optional fit"
Supplements,Omega-3 fish oil,8100,0.12,Gap (draft created),Fish oil softgel with stated EPA/DHA,"Nutrifactor Normega 1000 (nutrifactor.com.pk)",1800,https://www.nutrifactor.com.pk/products/normega-1000,"180mg EPA/120mg DHA stated. Draft SKU omega-3-fish-oil created"
Supplements,Cod liver oil,3600,0.07,Gap,Cod liver oil capsules,"Seven Seas (sevenseas.com.pk)",7830 (120 caps),https://sevenseas.com.pk/shop/1874-sevenseas-cod-liver-oil-cap-1x120.html,"Imported UK brand with PK distributor; pair with omega-3 listing"
Supplements,Biotin,8100,0.24,Gap (draft created),Biotin 5000-10000mcg,"Nature's Bounty 10000mcg (mybag.pk) / Nutrifactor 2500mcg",2750 / 1150,https://www.nutrifactor.com.pk/products/biotin-plus,"Price varies widely — confirm before sourcing. Draft SKU biotin-10000-mcg created"
Supplements,Zinc (adult),6600,0.02,Gap (kids only stocked),Zinc gluconate 50mg,"Nutrifactor Nuzinc (nutrifactor.com.pk)",950,https://www.nutrifactor.com.pk/products/nuzinc,"Store has Simzee (kids syrup) only; no adult zinc tablet"
Supplements,Ginseng,6600,0.02,Gap,Panax ginseng 250mg caps,"Nutrifactor Ginseng 250 (nutrifactor.com.pk)",990,https://www.nutrifactor.com.pk/products/ginseng-250mg,"Energy/vitality; very low competition"
Supplements,Ginkgo biloba,5400,0.03,Gap,Ginkgo biloba tablets,"Nutrifactor Ginkgo Focus (nutrifactor.com.pk)",1150,https://www.nutrifactor.com.pk/products/ginkgo-focus,"Combo formula (ginkgo + ginseng); standalone ginkgo scarce in PK"
Supplements,Vitamin E (oral),5400,0.01,Gap,Vitamin E 400 IU softgels,"Nutrifactor E-Cell 400 / Evion (dvago.pk)",990 / ~180 per strip,https://www.myvitaminstore.pk/products/nutrifactor-e-cell-400-vitamin-e-30-ct,"Evion = cheap pharmacy strip; very low competition"
Supplements,Probiotics,5400,0.05,Gap,Probiotic capsules 5B+ CFU,"Natural Factors (vitaminshouse.com)",3990,https://vitaminshouse.com/collections/probiotics-supplements,"Mostly imported in PK; gut-health angle ties to existing digestive range"
Supplements,CoQ10,4400,0.08,Gap,CoQ10 100mg,"Nutrifactor Qfactor (nutrifactor.com.pk)",2500,https://www.nutrifactor.com.pk/products/qfactor,"Heart/energy; local Nutrifactor cheapest reliable"
Supplements,Selenium,4400,0.01,Gap,Selenium 200mcg,"Nature's Bounty (myvitaminstore.pk)",3495,https://www.myvitaminstore.pk/products/natures-bounty-selenium-200mcg,"Local selenium scarce — imported. Very low competition"
Supplements,Psyllium husk,2900,0.02,Partial (Fybosim is fiber+),Psyllium husk / ispaghol,"Sunbeam (sunbeamfoods.com.pk)",1420 (160g),https://www.sunbeamfoods.com.pk/product-category/psyllium-husk/,"50g=480 / 100g=955 also; cheap local staple"
Supplements,Evening primrose oil,1600,0.06,Gap,EPO 500mg softgels,"Nutrifactor Femrose 500 (dawaai.pk)",~1000-1500,https://dawaai.pk/otc/nutrifactor-femrose-evening-primrose-oil-37600.html,"Women's-health angle; price unconfirmed (JS page) — verify"
Supplements,Vitamin B-complex,1300,0.06,Gap,B-50 super B-complex,"Nutrifactor B-50 (nutrifactor.com.pk)",1150,https://www.nutrifactor.com.pk/products/b-50-b-complex,"Local; 60/90-ct were sold out"
Supplements,Sea moss,1000,0.03,Gap,Sea moss capsules,"Kexinsh (nifdo.com)",5500,https://nifdo.com/products/kexinsh-60-120-sea-moss-capsules-raw-organic-in-pakistan,"Weakest category — mostly dropship importers, USD-linked. Confirm stock by call"
Skincare/Beauty,Kajal,27100,0.33,Gap,Black kajal / eyeliner pencil,"Saeed Ghani (saloni.pk) / Rivaj UK (daraz.pk)",100-200 / 250-700,https://www.saloni.pk/saeed-ghani-kajal-pencil,"Huge volume. Cheap local color brands (Saeed Ghani, Rivaj, Rivaj UK)"
Skincare/Beauty,Rosemary oil (hair),14800,0.24,Gap,Rosemary essential/hair oil,"Conatural (conaturalintl.com)",1281 (10ml),https://conaturalintl.com/products/,"Trending hair-growth ingredient; local natural brand, easy to source"
Skincare/Beauty,Castor oil,14800,0.04,Gap,Castor oil 30-60ml,"Hemani (pk.hemaniherbals.com)",610 (30ml),https://pk.hemaniherbals.com/herbal-oil-30ml-castor-3,"Cheap local staple; 60ml ~310-335 at Naheed. Very low competition"
Skincare/Beauty,Salicylic acid (BHA),14800,0.18,Gap,BHA 2% serum / cleanser,"The Ordinary (theskinfit.com) / Garnier BHA (naheed.pk)",3650 / ~600-900,https://theskinfit.com/collections/salicylic-acid,"The Ordinary imported; Garnier BHA micellar = cheaper drugstore alt"
